,osl_property_id,asset_name,employer_name,old_commute,new_commute,closest_asset,is_closest_asset
189,3362715,Cortland at the Village,Home Depot,42.49333333333333,7.713333333333334,Cortland at the Village - Phase 4,False
190,3362715,Cortland at the Village,Home Depot,42.49333333333333,7.943333333333333,Cortland at the Village - Phase 4,False
191,3362715,Cortland at the Village,Home Depot,42.49333333333333,5.973333333333333,Cortland at the Village - Phase 4,False
192,3362715,Cortland at the Village,Home Depot,42.49333333333333,8.088333333333333,Cortland at the Village - Phase 4,False
197,3362715,Cortland at the Village,Atlanta Public Schools,42.305,22.841666666666665,Cortland Old Fourth Ward,False
198,3362715,Cortland at the Village,Atlanta Public Schools,42.305,23.071666666666665,Cortland Old Fourth Ward,False
199,3362715,Cortland at the Village,Atlanta Public Schools,42.305,21.926666666666666,Cortland Old Fourth Ward,False
200,3362715,Cortland at the Village,Atlanta Public Schools,42.305,21.745,Cortland Old Fourth Ward,False
205,3362715,Cortland at the Village,Lockheed Martin Corporation,19.346666666666668,11.595,Battery 2nd Base,False
206,3362715,Cortland at the Village,Lockheed Martin Corporation,19.346666666666668,11.825,Battery 2nd Base,False
207,3362715,Cortland at the Village,Lockheed Martin Corporation,19.346666666666668,9.854999999999999,Battery 2nd Base,False
208,3362715,Cortland at the Village,Lockheed Martin Corporation,19.346666666666668,11.261666666666667,Battery 2nd Base,False
209,3362715,Cortland at the Village,Meyer Enterprises ,24.538333333333334,31.801666666666666,The Springs at Peachtree Corners,False
210,3362715,Cortland at the Village,Meyer Enterprises ,24.538333333333334,32.031666666666666,The Springs at Peachtree Corners,False
211,3362715,Cortland at the Village,Meyer Enterprises ,24.538333333333334,30.886666666666667,The Springs at Peachtree Corners,False
212,3362715,Cortland at the Village,Meyer Enterprises ,24.538333333333334,30.705,The Springs at Peachtree Corners,False
213,3362715,Cortland at the Village,United Distributors,19.591666666666665,13.143333333333334,Battery 2nd Base,False
214,3362715,Cortland at the Village,United Distributors,19.591666666666665,13.373333333333333,Battery 2nd Base,False
215,3362715,Cortland at the Village,United Distributors,19.591666666666665,11.403333333333334,Battery 2nd Base,False
216,3362715,Cortland at the Village,United Distributors,19.591666666666665,13.213333333333333,Battery 2nd Base,False
229,3362715,Cortland at the Village,Chick fil a ,20.003333333333334,43.306666666666665,Cortland East Cobb,False
230,3362715,Cortland at the Village,Chick fil a ,20.003333333333334,43.53666666666666,Cortland East Cobb,False
231,3362715,Cortland at the Village,Chick fil a ,20.003333333333334,41.56666666666667,Cortland East Cobb,False
232,3362715,Cortland at the Village,Chick fil a ,20.003333333333334,42.33833333333334,Cortland East Cobb,False
233,3362715,Cortland at the Village,Children's Healthcare of Atlanta Scottish Rite,29.311666666666667,17.185,Cortland at the Hill,False
234,3362715,Cortland at the Village,Children's Healthcare of Atlanta Scottish Rite,29.311666666666667,17.415000000000003,Cortland at the Hill,False
235,3362715,Cortland at the Village,Children's Healthcare of Atlanta Scottish Rite,29.311666666666667,16.27,Cortland at the Hill,False
236,3362715,Cortland at the Village,Children's Healthcare of Atlanta Scottish Rite,29.311666666666667,16.08833333333333,Cortland at the Hill,False
241,3362715,Cortland at the Village,Allison Smith,9.465,12.6,Battery 2nd Base,False
242,3362715,Cortland at the Village,Allison Smith,9.465,12.83,Battery 2nd Base,False
243,3362715,Cortland at the Village,Allison Smith,9.465,10.860000000000001,Battery 2nd Base,False
244,3362715,Cortland at the Village,Allison Smith,9.465,12.266666666666667,Battery 2nd Base,False
245,3362715,Cortland at the Village,Kroger,15.573333333333332,24.701666666666664,Cortland at Phipps Plaza,False
246,3362715,Cortland at the Village,Kroger,15.573333333333332,24.93166666666667,Cortland at Phipps Plaza,False
247,3362715,Cortland at the Village,Kroger,15.573333333333332,23.78666666666667,Cortland at Phipps Plaza,False
248,3362715,Cortland at the Village,Kroger,15.573333333333332,23.605,Cortland at Phipps Plaza,False
249,3362715,Cortland at the Village,Complete transpack solution,12.308333333333334,61.876666666666665,Cortland East Cobb,False
250,3362715,Cortland at the Village,Complete transpack solution,12.308333333333334,62.10666666666667,Cortland East Cobb,False
251,3362715,Cortland at the Village,Complete transpack solution,12.308333333333334,60.13666666666666,Cortland East Cobb,False
252,3362715,Cortland at the Village,Complete transpack solution,12.308333333333334,60.90833333333333,Cortland East Cobb,False
257,3362715,Cortland at the Village,Craft Bank,75.94333333333334,15.941666666666666,1250 West,False
258,3362715,Cortland at the Village,Craft Bank,75.94333333333334,16.171666666666667,1250 West,False
259,3362715,Cortland at the Village,Craft Bank,75.94333333333334,14.201666666666666,1250 West,False
260,3362715,Cortland at the Village,Craft Bank,75.94333333333334,15.026666666666667,1250 West,False
265,3362715,Cortland at the Village,Precision Turf ,46.75,47.72666666666667,Cortland Sugarloaf,False
266,3362715,Cortland at the Village,Precision Turf ,46.75,47.95666666666667,Cortland Sugarloaf,False
267,3362715,Cortland at the Village,Precision Turf ,46.75,46.81166666666666,Cortland Sugarloaf,False
268,3362715,Cortland at the Village,Precision Turf ,46.75,46.63,Cortland Sugarloaf,False
273,3362715,Cortland at the Village,"Kennestone Hospital, Inc",19.025,19.06833333333333,Cortland East Cobb,False
274,3362715,Cortland at the Village,"Kennestone Hospital, Inc",19.025,19.298333333333336,Cortland East Cobb,False
275,3362715,Cortland at the Village,"Kennestone Hospital, Inc",19.025,17.328333333333333,Cortland East Cobb,False
276,3362715,Cortland at the Village,"Kennestone Hospital, Inc",19.025,18.016666666666666,Cortland East Cobb,False
277,3362715,Cortland at the Village,Stellantis Financial Services,0.0,20.31,Park West Family,False
278,3362715,Cortland at the Village,Stellantis Financial Services,0.0,20.540000000000003,Park West Family,False
279,3362715,Cortland at the Village,Stellantis Financial Services,0.0,19.395,Park West Family,False
280,3362715,Cortland at the Village,Stellantis Financial Services,0.0,19.21333333333333,Park West Family,False
281,3362715,Cortland at the Village,Jason’s deli ,36.535,29.533333333333335,Cortland 3131,False
282,3362715,Cortland at the Village,Jason’s deli ,36.535,29.763333333333332,Cortland 3131,False
283,3362715,Cortland at the Village,Jason’s deli ,36.535,28.618333333333332,Cortland 3131,False
284,3362715,Cortland at the Village,Jason’s deli ,36.535,28.436666666666667,Cortland 3131,False
285,3362715,Cortland at the Village,Intuit,23.32,23.011666666666667,Cortland Old Fourth Ward,False
286,3362715,Cortland at the Village,Intuit,23.32,23.241666666666667,Cortland Old Fourth Ward,False
287,3362715,Cortland at the Village,Intuit,23.32,22.096666666666668,Cortland Old Fourth Ward,False
288,3362715,Cortland at the Village,Intuit,23.32,21.915000000000003,Cortland Old Fourth Ward,False
289,3362715,Cortland at the Village,United Parcel Service ,41.25333333333333,17.028333333333332,Park West Family,False
290,3362715,Cortland at the Village,United Parcel Service ,41.25333333333333,17.258333333333333,Park West Family,False
291,3362715,Cortland at the Village,United Parcel Service ,41.25333333333333,16.113333333333333,Park West Family,False
292,3362715,Cortland at the Village,United Parcel Service ,41.25333333333333,15.931666666666667,Park West Family,False
313,3362715,Cortland at the Village,Quality Craftsmen,11.775,8.301666666666668,Cortland Woodlands,False
314,3362715,Cortland at the Village,Quality Craftsmen,11.775,8.531666666666666,Cortland Woodlands,False
315,3362715,Cortland at the Village,Quality Craftsmen,11.775,6.5616666666666665,Cortland Woodlands,False
316,3362715,Cortland at the Village,Quality Craftsmen,11.775,7.25,Cortland Woodlands,False
329,3362715,Cortland at the Village,Emory ,16.721666666666668,20.261666666666667,Cortland Old Fourth Ward,False
330,3362715,Cortland at the Village,Emory ,16.721666666666668,20.491666666666667,Cortland Old Fourth Ward,False
331,3362715,Cortland at the Village,Emory ,16.721666666666668,19.346666666666668,Cortland Old Fourth Ward,False
332,3362715,Cortland at the Village,Emory ,16.721666666666668,19.165000000000003,Cortland Old Fourth Ward,False
333,3362715,Cortland at the Village,Lockheed Martin Aeronautics Company,10.398333333333333,11.595,Battery 2nd Base,False
334,3362715,Cortland at the Village,Lockheed Martin Aeronautics Company,10.398333333333333,11.825,Battery 2nd Base,False
335,3362715,Cortland at the Village,Lockheed Martin Aeronautics Company,10.398333333333333,9.854999999999999,Battery 2nd Base,False
336,3362715,Cortland at the Village,Lockheed Martin Aeronautics Company,10.398333333333333,11.261666666666667,Battery 2nd Base,False
337,3362715,Cortland at the Village,The Atlanta Postpartum Doula,34.89666666666667,47.46333333333334,Somerset,False
